GeoName,Year,Tax Type,TaxType,Amount 
United States,2013,1121,Total Taxes,855384395
United States,2013,11211,Property Taxes,15144800
United States,2013,11212,Sales and Gross Receipts Taxes,401233509
United States,2013,112123,License Taxes,51181846
United States,2013,112124,Income Taxes,356845695
United States,2013,112125,Other Taxes,30978545
Alabama,2013,1121,Total Taxes,9270919
Alabama,2013,11211,Property Taxes,325652
Alabama,2013,11212,Sales and Gross Receipts Taxes,4708518
Alabama,2013,112123,License Taxes,490430
Alabama,2013,112124,Income Taxes,3584722
Alabama,2013,112125,Other Taxes,161597
Alaska,2013,1121,Total Taxes,5132811
Alaska,2013,11211,Property Taxes,99598
Alaska,2013,11212,Sales and Gross Receipts Taxes,249586
Alaska,2013,112123,License Taxes,135720
Alaska,2013,112124,Income Taxes,630941
Alaska,2013,112125,Other Taxes,4016966
Arizona,2013,1121,Total Taxes,13796918
Arizona,2013,11211,Property Taxes,762651
Arizona,2013,11212,Sales and Gross Receipts Taxes,8513034
Arizona,2013,112123,License Taxes,412769
Arizona,2013,112124,Income Taxes,4059733
Arizona,2013,112125,Other Taxes,48731
Arkansas,2013,1121,Total Taxes,8586767
Arkansas,2013,11211,Property Taxes,1022066
Arkansas,2013,11212,Sales and Gross Receipts Taxes,4019203
Arkansas,2013,112123,License Taxes,357280
Arkansas,2013,112124,Income Taxes,3052451
Arkansas,2013,112125,Other Taxes,135767
California,2013,1121,Total Taxes,133184246
California,2013,11211,Property Taxes,1982208
California,2013,11212,Sales and Gross Receipts Taxes,48074580
California,2013,112123,License Taxes,8743748
California,2013,112124,Income Taxes,74271000
California,2013,112125,Other Taxes,112710
Colorado,2013,1121,Total Taxes,11255253
Colorado,2013,11211,Property Taxes,X
Colorado,2013,11212,Sales and Gross Receipts Taxes,4289135
Colorado,2013,112123,License Taxes,637707
Colorado,2013,112124,Income Taxes,6180665
Colorado,2013,112125,Other Taxes,147746
Connecticut,2013,1121,Total Taxes,16046433
Connecticut,2013,11211,Property Taxes,X
Connecticut,2013,11212,Sales and Gross Receipts Taxes,6637162
Connecticut,2013,112123,License Taxes,452912
Connecticut,2013,112124,Income Taxes,8380581
Connecticut,2013,112125,Other Taxes,575778
Delaware,2013,1121,Total Taxes,3346316
Delaware,2013,11211,Property Taxes,X
Delaware,2013,11212,Sales and Gross Receipts Taxes,487202
Delaware,2013,112123,License Taxes,1259277
Delaware,2013,112124,Income Taxes,1440145
Delaware,2013,112125,Other Taxes,159692
District of Columbia,2013,1121,Total Taxes,6232763
District of Columbia,2013,11211,Property Taxes,1969718
District of Columbia,2013,11212,Sales and Gross Receipts Taxes,1563993
District of Columbia,2013,112123,License Taxes,151561
District of Columbia,2013,112124,Income Taxes,2094179
District of Columbia,2013,112125,Other Taxes,453312
Florida,2013,1121,Total Taxes,35432266
Florida,2013,11211,Property Taxes,360
Florida,2013,11212,Sales and Gross Receipts Taxes,29370441
Florida,2013,112123,License Taxes,1993965
Florida,2013,112124,Income Taxes,2071710
Florida,2013,112125,Other Taxes,1995790
Georgia,2013,1121,Total Taxes,17932461
Georgia,2013,11211,Property Taxes,201834
Georgia,2013,11212,Sales and Gross Receipts Taxes,7408422
Georgia,2013,112123,License Taxes,767866
Georgia,2013,112124,Income Taxes,9569482
Georgia,2013,112125,Other Taxes,-15143
Hawaii,2013,1121,Total Taxes,6111278
Hawaii,2013,11211,Property Taxes,X
Hawaii,2013,11212,Sales and Gross Receipts Taxes,3932220
Hawaii,2013,112123,License Taxes,248574
Hawaii,2013,112124,Income Taxes,1859379
Hawaii,2013,112125,Other Taxes,71105
Idaho,2013,1121,Total Taxes,3578068
Idaho,2013,11211,Property Taxes,X
Idaho,2013,11212,Sales and Gross Receipts Taxes,1772300
Idaho,2013,112123,License Taxes,306627
Idaho,2013,112124,Income Taxes,1492902
Idaho,2013,112125,Other Taxes,6239
Illinois,2013,1121,Total Taxes,38729322
Illinois,2013,11211,Property Taxes,61806
Illinois,2013,11212,Sales and Gross Receipts Taxes,14719741
Illinois,2013,112123,License Taxes,2583108
Illinois,2013,112124,Income Taxes,21001289
Illinois,2013,112125,Other Taxes,363378
Indiana,2013,1121,Total Taxes,16881138
Indiana,2013,11211,Property Taxes,7008
Indiana,2013,11212,Sales and Gross Receipts Taxes,10345746
Indiana,2013,112123,License Taxes,606090
Indiana,2013,112124,Income Taxes,5754395
Indiana,2013,112125,Other Taxes,167899
Iowa,2013,1121,Total Taxes,8681675
Iowa,2013,11211,Property Taxes,X
Iowa,2013,11212,Sales and Gross Receipts Taxes,3916290
Iowa,2013,112123,License Taxes,798137
Iowa,2013,112124,Income Taxes,3865312
Iowa,2013,112125,Other Taxes,101936
Kansas,2013,1121,Total Taxes,7615894
Kansas,2013,11211,Property Taxes,79475
Kansas,2013,11212,Sales and Gross Receipts Taxes,3742916
Kansas,2013,112123,License Taxes,378633
Kansas,2013,112124,Income Taxes,3341141
Kansas,2013,112125,Other Taxes,73729
Kentucky,2013,1121,Total Taxes,10875039
Kentucky,2013,11211,Property Taxes,558377
Kentucky,2013,11212,Sales and Gross Receipts Taxes,5169541
Kentucky,2013,112123,License Taxes,462726
Kentucky,2013,112124,Income Taxes,4369839
Kentucky,2013,112125,Other Taxes,314556
Louisiana,2013,1121,Total Taxes,9223829
Louisiana,2013,11211,Property Taxes,52686
Louisiana,2013,11212,Sales and Gross Receipts Taxes,4974642
Louisiana,2013,112123,License Taxes,369930
Louisiana,2013,112124,Income Taxes,2992413
Louisiana,2013,112125,Other Taxes,834158
Maine,2013,1121,Total Taxes,3884450
Maine,2013,11211,Property Taxes,38636
Maine,2013,11212,Sales and Gross Receipts Taxes,1779873
Maine,2013,112123,License Taxes,260918
Maine,2013,112124,Income Taxes,1703491
Maine,2013,112125,Other Taxes,101532
Maryland,2013,1121,Total Taxes,18118191
Maryland,2013,11211,Property Taxes,750927
Maryland,2013,11212,Sales and Gross Receipts Taxes,7347048
Maryland,2013,112123,License Taxes,805292
Maryland,2013,112124,Income Taxes,8645416
Maryland,2013,112125,Other Taxes,569508
Massachusetts,2013,1121,Total Taxes,23901047
Massachusetts,2013,11211,Property Taxes,4795
Massachusetts,2013,11212,Sales and Gross Receipts Taxes,7455326
Massachusetts,2013,112123,License Taxes,945922
Massachusetts,2013,112124,Income Taxes,14764641
Massachusetts,2013,112125,Other Taxes,730363
Michigan,2013,1121,Total Taxes,24936087
Michigan,2013,11211,Property Taxes,1879024
Michigan,2013,11212,Sales and Gross Receipts Taxes,12298069
