GeoName,Year,TaxType,Amount 
United States,2014,Total Taxes,874957406
United States,2014,Property Taxes,16295747
United States,2014,Sales and Gross Receipts Taxes,414705742
United States,2014,License Taxes,51399445
United States,2014,Income Taxes,360148729
United States,2014,Other Taxes,32407743
Alabama,2014,Total Taxes,9296846
Alabama,2014,Property Taxes,332689
Alabama,2014,Sales and Gross Receipts Taxes,4812674
Alabama,2014,License Taxes,386378
Alabama,2014,Income Taxes,3612991
Alabama,2014,Other Taxes,152114
Alaska,2014,Total Taxes,3392870
Alaska,2014,Property Taxes,128076
Alaska,2014,Sales and Gross Receipts Taxes,257696
Alaska,2014,License Taxes,141948
Alaska,2014,Income Taxes,408938
Alaska,2014,Other Taxes,2456212
Arizona,2014,Total Taxes,13424271
Arizona,2014,Property Taxes,823508
Arizona,2014,Sales and Gross Receipts Taxes,8081993
Arizona,2014,License Taxes,437127
Arizona,2014,Income Taxes,4037593
Arizona,2014,Other Taxes,44050
Arkansas,2014,Total Taxes,8917322
Arkansas,2014,Property Taxes,1057918
Arkansas,2014,Sales and Gross Receipts Taxes,4324157
Arkansas,2014,License Taxes,368622
Arkansas,2014,Income Taxes,3000653
Arkansas,2014,Other Taxes,165972
California,2014,Total Taxes,138131690
California,2014,Property Taxes,2176236
California,2014,Sales and Gross Receipts Taxes,50002053
California,2014,License Taxes,8984354
California,2014,Income Taxes,76854157
California,2014,Other Taxes,114890
Colorado,2014,Total Taxes,11755394
Colorado,2014,Property Taxes,X
Colorado,2014,Sales and Gross Receipts Taxes,4474294
Colorado,2014,License Taxes,659616
Colorado,2014,Income Taxes,6375963
Colorado,2014,Other Taxes,245521
Connecticut,2014,Total Taxes,15937742
Connecticut,2014,Property Taxes,X
Connecticut,2014,Sales and Gross Receipts Taxes,6782404
Connecticut,2014,License Taxes,433024
Connecticut,2014,Income Taxes,8399960
Connecticut,2014,Other Taxes,322354
Delaware,2014,Total Taxes,3176169
Delaware,2014,Property Taxes,X
Delaware,2014,Sales and Gross Receipts Taxes,480352
Delaware,2014,License Taxes,1301737
Delaware,2014,Income Taxes,1319213
Delaware,2014,Other Taxes,74867
District of Columbia,2014,Total Taxes,6416060
District of Columbia,2014,Property Taxes,2070974
District of Columbia,2014,Sales and Gross Receipts Taxes,1637979
District of Columbia,2014,License Taxes,145195
District of Columbia,2014,Income Taxes,2094754
District of Columbia,2014,Other Taxes,467158
Florida,2014,Total Taxes,36335598
Florida,2014,Property Taxes,250
Florida,2014,Sales and Gross Receipts Taxes,29998178
Florida,2014,License Taxes,2133240
Florida,2014,Income Taxes,2043750
Florida,2014,Other Taxes,2160180
Georgia,2014,Total Taxes,18618093
Georgia,2014,Property Taxes,788350
Georgia,2014,Sales and Gross Receipts Taxes,7310132
Georgia,2014,License Taxes,609944
Georgia,2014,Income Taxes,9909378
Georgia,2014,Other Taxes,289
Hawaii,2014,Total Taxes,6052795
Hawaii,2014,Property Taxes,X
Hawaii,2014,Sales and Gross Receipts Taxes,3847662
Hawaii,2014,License Taxes,243007
Hawaii,2014,Income Taxes,1871506
Hawaii,2014,Other Taxes,90620
Idaho,2014,Total Taxes,3669222
Idaho,2014,Property Taxes,X
Idaho,2014,Sales and Gross Receipts Taxes,1818810
Idaho,2014,License Taxes,316331
Idaho,2014,Income Taxes,1528077
Idaho,2014,Other Taxes,6004
Illinois,2014,Total Taxes,39922538
Illinois,2014,Property Taxes,54710
Illinois,2014,Sales and Gross Receipts Taxes,15758509
Illinois,2014,License Taxes,2676643
Illinois,2014,Income Taxes,21081986
Illinois,2014,Other Taxes,350690
Indiana,2014,Total Taxes,16846961
Indiana,2014,Property Taxes,8052
Indiana,2014,Sales and Gross Receipts Taxes,10395150
Indiana,2014,License Taxes,590483
Indiana,2014,Income Taxes,5763064
Indiana,2014,Other Taxes,90212
Iowa,2014,Total Taxes,8572532
Iowa,2014,Property Taxes,X
Iowa,2014,Sales and Gross Receipts Taxes,4072631
Iowa,2014,License Taxes,808047
Iowa,2014,Income Taxes,3586277
Iowa,2014,Other Taxes,105577
Kansas,2014,Total Taxes,7334481
Kansas,2014,Property Taxes,81267
Kansas,2014,Sales and Gross Receipts Taxes,3890900
Kansas,2014,License Taxes,395454
Kansas,2014,Income Taxes,2841841
Kansas,2014,Other Taxes,125019
Kentucky,2014,Total Taxes,11103545
Kentucky,2014,Property Taxes,562370
Kentucky,2014,Sales and Gross Receipts Taxes,5354124
Kentucky,2014,License Taxes,472225
Kentucky,2014,Income Taxes,4423722
Kentucky,2014,Other Taxes,291104
Louisiana,2014,Total Taxes,9695281
Louisiana,2014,Property Taxes,55363
Louisiana,2014,Sales and Gross Receipts Taxes,5115636
Louisiana,2014,License Taxes,427090
Louisiana,2014,Income Taxes,3234892
Louisiana,2014,Other Taxes,862300
Maine,2014,Total Taxes,3847181
Maine,2014,Property Taxes,35755
Maine,2014,Sales and Gross Receipts Taxes,1911398
Maine,2014,License Taxes,254251
Maine,2014,Income Taxes,1597038
Maine,2014,Other Taxes,48739
Maryland,2014,Total Taxes,18929069
Maryland,2014,Property Taxes,725694
Maryland,2014,Sales and Gross Receipts Taxes,8022537
Maryland,2014,License Taxes,853851
Maryland,2014,Income Taxes,8756557
Maryland,2014,Other Taxes,570430
Massachusetts,2014,Total Taxes,25237003
Massachusetts,2014,Property Taxes,4710
Massachusetts,2014,Sales and Gross Receipts Taxes,7933030
Massachusetts,2014,License Taxes,1012557
Massachusetts,2014,Income Taxes,15440841
Massachusetts,2014,Other Taxes,845865
Michigan,2014,Total Taxes,25100605
Michigan,2014,Property Taxes,1919910
Michigan,2014,Sales and Gross Receipts Taxes,12606196
Michigan,2014,License Taxes,1511695
Michigan,2014,Income Taxes,8755723
Michigan,2014,Other Taxes,307081
Minnesota,2014,Total Taxes,23245827
Minnesota,2014,Property Taxes,837145
Minnesota,2014,Sales and Gross Receipts Taxes,9709772
Minnesota,2014,License Taxes,1330394
Minnesota,2014,Income Taxes,10949487
Minnesota,2014,Other Taxes,419029
Mississippi,2014,Total Taxes,7574515
Mississippi,2014,Property Taxes,25103
Mississippi,2014,Sales and Gross Receipts Taxes,4704955
Mississippi,2014,License Taxes,559218
Mississippi,2014,Income Taxes,2193646
Mississippi,2014,Other Taxes,91593
Missouri,2014,Total Taxes,11240654
Missouri,2014,Property Taxes,29725
Missouri,2014,Sales and Gross Receipts Taxes,4915210
Missouri,2014,License Taxes,564471
Missouri,2014,Income Taxes,5719700
Missouri,2014,Other Taxes,11548
Montana,2014,Total Taxes,2655553
Montana,2014,Property Taxes,268508
Montana,2014,Sales and Gross Receipts Taxes,550254
Montana,2014,License Taxes,314271
Montana,2014,Income Taxes,1213400
Montana,2014,Other Taxes,309120
Nebraska,2014,Total Taxes,4887753
Nebraska,2014,Property Taxes,143
Nebraska,2014,Sales and Gross Receipts Taxes,2303952
Nebraska,2014,License Taxes,137097
Nebraska,2014,Income Taxes,2430755
Nebraska,2014,Other Taxes,15806
Nevada,2014,Total Taxes,7143169
Nevada,2014,Property Taxes,258600
Nevada,2014,Sales and Gross Receipts Taxes,5714197
Nevada,2014,License Taxes,608375
Nevada,2014,Income Taxes,0
Nevada,2014,Other Taxes,561997
New Hampshire,2014,Total Taxes,2285717
New Hampshire,2014,Property Taxes,383126
New Hampshire,2014,Sales and Gross Receipts Taxes,880245
New Hampshire,2014,License Taxes,280011
New Hampshire,2014,Income Taxes,635590
New Hampshire,2014,Other Taxes,106745
New Jersey,2014,Total Taxes,29679226
New Jersey,2014,Property Taxes,6705
New Jersey,2014,Sales and Gross Receipts Taxes,12751851
New Jersey,2014,License Taxes,1516698
New Jersey,2014,Income Taxes,14341741
New Jersey,2014,Other Taxes,1062231
New Mexico,2014,Total Taxes,5757432
New Mexico,2014,Property Taxes,105637
New Mexico,2014,Sales and Gross Receipts Taxes,2799875
New Mexico,2014,License Taxes,282382
New Mexico,2014,Income Taxes,1503195
New Mexico,2014,Other Taxes,1066343
New York,2014,Total Taxes,76978982
New York,2014,Property Taxes,X
New York,2014,Sales and Gross Receipts Taxes,23544789
New York,2014,License Taxes,1884841
New York,2014,Income Taxes,47826461
New York,2014,Other Taxes,3722891
North Carolina,2014,Total Taxes,23470294
North Carolina,2014,Property Taxes,X
North Carolina,2014,Sales and Gross Receipts Taxes,9980713
North Carolina,2014,License Taxes,1664474
North Carolina,2014,Income Taxes,11751148
North Carolina,2014,Other Taxes,73959
North Dakota,2014,Total Taxes,6120435
North Dakota,2014,Property Taxes,3026
North Dakota,2014,Sales and Gross Receipts Taxes,1848130
North Dakota,2014,License Taxes,227245
North Dakota,2014,Income Taxes,748966
North Dakota,2014,Other Taxes,3293068
Ohio,2014,Total Taxes,27020507
Ohio,2014,Property Taxes,X
Ohio,2014,Sales and Gross Receipts Taxes,15617920
Ohio,2014,License Taxes,2928276
Ohio,2014,Income Taxes,8424725
Ohio,2014,Other Taxes,49586
Oklahoma,2014,Total Taxes,9103302
Oklahoma,2014,Property Taxes,X
Oklahoma,2014,Sales and Gross Receipts Taxes,3989358
Oklahoma,2014,License Taxes,1057768
Oklahoma,2014,Income Taxes,3359418
Oklahoma,2014,Other Taxes,696758
Oregon,2014,Total Taxes,9680004
Oregon,2014,Property Taxes,21740
Oregon,2014,Sales and Gross Receipts Taxes,1443722
Oregon,2014,License Taxes,957961
Oregon,2014,Income Taxes,7144552
Oregon,2014,Other Taxes,112029
Pennsylvania,2014,Total Taxes,34192869
Pennsylvania,2014,Property Taxes,45017
Pennsylvania,2014,Sales and Gross Receipts Taxes,17419429
Pennsylvania,2014,License Taxes,2302934
Pennsylvania,2014,Income Taxes,13111325
Pennsylvania,2014,Other Taxes,1314164
Rhode Island,2014,Total Taxes,2974435
Rhode Island,2014,Property Taxes,2567
Rhode Island,2014,Sales and Gross Receipts Taxes,1529371
Rhode Island,2014,License Taxes,137657
Rhode Island,2014,Income Taxes,1247164
Rhode Island,2014,Other Taxes,57676
South Carolina,2014,Total Taxes,9004192
South Carolina,2014,Property Taxes,21664
South Carolina,2014,Sales and Gross Receipts Taxes,4628363
South Carolina,2014,License Taxes,471862
South Carolina,2014,Income Taxes,3821969
South Carolina,2014,Other Taxes,60334
South Dakota,2014,Total Taxes,1608496
South Dakota,2014,Property Taxes,X
