GeoName,Year,TaxType,Amount
United States,2015,Total Taxes,916488050
United States,2015,Property Taxes,17555153
United States,2015,Sales and Gross Receipts Taxes,431255544
United States,2015,License Taxes,52199149
United States,2015,Income Taxes,387206745
United States,2015,Other Taxes,28271459
Alabama,2015,Total Taxes,9755439
Alabama,2015,Property Taxes,336825
Alabama,2015,Sales and Gross Receipts Taxes,4936049
Alabama,2015,License Taxes,493883
Alabama,2015,Income Taxes,3870173
Alabama,2015,Other Taxes,118509
Alaska,2015,Total Taxes,863723
Alaska,2015,Property Taxes,127821
Alaska,2015,Sales and Gross Receipts Taxes,255971
Alaska,2015,License Taxes,146846
Alaska,2015,Income Taxes,227852
Alaska,2015,Other Taxes,105233
Arizona,2015,Total Taxes,14082100
Arizona,2015,Property Taxes,882643
Arizona,2015,Sales and Gross Receipts Taxes,8246393
Arizona,2015,License Taxes,458737
Arizona,2015,Income Taxes,4451843
Arizona,2015,Other Taxes,42484
Arkansas,2015,Total Taxes,9190212
Arkansas,2015,Property Taxes,1088431
Arkansas,2015,Sales and Gross Receipts Taxes,4410340
Arkansas,2015,License Taxes,384306
Arkansas,2015,Income Taxes,3140706
Arkansas,2015,Other Taxes,166429
California,2015,Total Taxes,151172643
California,2015,Property Taxes,2315507
California,2015,Sales and Gross Receipts Taxes,52347262
California,2015,License Taxes,9421978
California,2015,Income Taxes,86936733
California,2015,Other Taxes,151163
Colorado,2015,Total Taxes,12810632
Colorado,2015,Property Taxes,X
Colorado,2015,Sales and Gross Receipts Taxes,4788704
Colorado,2015,License Taxes,680767
Colorado,2015,Income Taxes,7048478
Colorado,2015,Other Taxes,292683
Connecticut,2015,Total Taxes,16231958
Connecticut,2015,Property Taxes,X
Connecticut,2015,Sales and Gross Receipts Taxes,6562147
Connecticut,2015,License Taxes,452687
Connecticut,2015,Income Taxes,8871756
Connecticut,2015,Other Taxes,345368
Delaware,2015,Total Taxes,3513916
Delaware,2015,Property Taxes,X
Delaware,2015,Sales and Gross Receipts Taxes,498557
Delaware,2015,License Taxes,1389894
Delaware,2015,Income Taxes,1540994
Delaware,2015,Other Taxes,84471
District of Columbia,2015,Total Taxes,7087455
District of Columbia,2015,Property Taxes,2251724
District of Columbia,2015,Sales and Gross Receipts Taxes,1747326
District of Columbia,2015,License Taxes,162700
District of Columbia,2015,Income Taxes,2316727
District of Columbia,2015,Other Taxes,608978
Florida,2015,Total Taxes,37217759
Florida,2015,Property Taxes,70
Florida,2015,Sales and Gross Receipts Taxes,30336315
Florida,2015,License Taxes,2138834
Florida,2015,Income Taxes,2237500
Florida,2015,Other Taxes,2505040
Georgia,2015,Total Taxes,19723730
Georgia,2015,Property Taxes,862493
Georgia,2015,Sales and Gross Receipts Taxes,7555865
Georgia,2015,License Taxes,626088
Georgia,2015,Income Taxes,10679060
Georgia,2015,Other Taxes,224
Hawaii,2015,Total Taxes,6485563
Hawaii,2015,Property Taxes,X
Hawaii,2015,Sales and Gross Receipts Taxes,4082196
Hawaii,2015,License Taxes,252431
Hawaii,2015,Income Taxes,2060164
Hawaii,2015,Other Taxes,90772
Idaho,2015,Total Taxes,3975445
Idaho,2015,Property Taxes,X
Idaho,2015,Sales and Gross Receipts Taxes,1940708
Idaho,2015,License Taxes,333144
Idaho,2015,Income Taxes,1695450
